LATITUDE,LONGITUDE,source,in_odis,description
-10.7257,-37.1907,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-12.4519,-38.4696,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.1716,-37.247,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-12.6758,-38.5558,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: 3R Candeias  S.A.
-12.1873,-38.4812,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-10.7285,-37.2104,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-12.1633,-38.2061,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-21.56,-39.6423,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-11.9276,-38.4695,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Origem
-11.8153,-37.8621,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-11.9221,-37.8646,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-20.0027,-39.678,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-12.3328,-38.1845,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: SPE Miranga
-11.941,-38.0748,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-19.9491,-39.4991,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-12.127,-38.1677,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-11.809,-37.8457,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-12.4262,-38.3619,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: None
-5.6067,-37.4567,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Imetame
-19.3312,-39.7568,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Imetame
-22.7423,-40.8321,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Trident Energy
-5.0596,-37.0383,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Imetame
-22.7511,-40.8283,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Trident Energy
-5.0299,-37.0043,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Imetame
-5.3066,-36.9178,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Imetame
-12.3963,-38.3425,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: 3R Rio Ventura S.A
-22.2587,-40.4667,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Perenco Brasil
-12.5717,-38.6165,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: 3R Candeias  S.A.
-12.4619,-38.4948,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-19.3431,-39.785,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-12.4118,-38.5135,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: PetroRecôncavo
-19.0143,-39.8069,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Seacrest SPE Cicaré
-18.8974,-39.8899,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Seacrest SPE Cicaré
-12.1953,-38.4913,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-11.9489,-38.0651,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-10.6918,-37.1308,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-12.4162,-38.5029,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: PetroRecôncavo
-12.2294,-38.476,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-22.0401,-39.7415,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-11.8475,-37.8329,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.2498,-36.545,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-19.339,-39.7852,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-19.0037,-39.8625,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.2563,-36.5587,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-21.887,-39.7795,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.3074,-36.6453,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-25.2462,-42.5561,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.3985,-36.8863,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.6986,-44.123,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Eneva
-5.3102,-36.6526,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-24.5993,-42.5466,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-9.6541,-35.7914,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrosynergy
-5.3153,-36.6579,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.2724,-36.915,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrosynergy
-10.646,-36.9957,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.2332,-36.7298,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: 3R Macau
-20.7124,-39.4569,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Repsol Sinopec
-5.1281,-37.2416,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.1751,-37.265,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-10.6215,-36.9568,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.3806,-36.8677,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.0899,-37.1808,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-11.0878,-37.2419,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Silver Marlin
-9.59,-35.8573,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Origem Alagoas
-10.8104,-36.9703,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Nord
-10.7326,-37.0307,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-9.7366,-36.1234,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Origem Alagoas
-5.3948,-36.8975,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-19.1667,-39.8883,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Seacrest SPE Cicaré
-9.628,-35.8962,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Origem Alagoas
-12.2005,-38.4898,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-12.4329,-38.4642,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-9.5886,-35.8985,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Origem Alagoas
-11.9279,-37.8737,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-9.601,-35.9294,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Origem Alagoas
-12.139,-38.1723,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-19.3322,-39.7888,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-9.6042,-35.9221,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Origem Alagoas
-5.402,-36.9101,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-9.59,-35.8908,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Origem Alagoas
-5.3946,-36.934,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.1888,-36.4084,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.3805,-36.865,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.3174,-36.7472,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-9.594,-35.8923,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Origem Alagoas
-5.2232,-36.4741,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.2479,-36.5459,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-9.7357,-36.0611,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Origem Alagoas
-5.3768,-36.8327,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-2.9685,-38.974,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-9.7999,-36.1156,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Origem Alagoas
-5.2313,-36.5081,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-9.6111,-35.9166,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Origem Alagoas
-5.1233,-37.1906,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.3079,-36.6498,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-9.5887,-35.8984,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Origem Alagoas
-12.4015,-38.5052,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: PetroRecôncavo
-5.3844,-36.8693,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-9.6116,-35.8965,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Origem Alagoas
-5.1044,-37.1924,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-9.6099,-35.9091,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Origem Alagoas
-5.1047,-37.1985,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.3245,-36.7407,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-9.6084,-35.8954,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Origem Alagoas
-5.3941,-36.8959,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.3101,-36.6483,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-12.2311,-38.466,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.1162,-37.1644,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.1866,-36.4116,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-9.5902,-35.851,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.1771,-37.2506,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.3219,-36.7363,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.3228,-36.7354,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.3219,-36.7345,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-21.2375,-40.0081,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.1272,-37.1812,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-9.6148,-35.9148,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Origem Alagoas
-4.6022,-64.5552,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Rosneft
-5.2593,-36.5598,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.1328,-37.2143,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-21.2675,-40.0497,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-10.7556,-37.0294,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.3877,-36.8713,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-19.5675,-39.259,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.2512,-36.5492,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.1097,-37.229,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-10.746,-37.035,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-10.596,-37.0901,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.2748,-37.0028,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-21.213,-39.9607,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-10.7852,-37.1462,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrom
-22.3458,-40.0566,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.1281,-37.2416,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
